id,created_at,updated_at,area_name,row_name,vertex1_id,vertex2_id
1,30:10.2,30:10.2,A 1,VH- Số1,70,70
2,30:10.3,30:10.3,A 1,VH- Số2,75,75
3,30:10.3,30:10.3,A 1,VH- Số3,80,80
4,30:10.3,30:10.3,A 1,VH- Số4,47,47
5,30:10.4,30:10.4,A 1,VH- Số5,48,48
6,30:10.4,30:10.4,A 1,VH- Số6,49,50
7,30:10.4,30:10.4,A 1,Hàng 1,69,67
8,30:10.5,30:10.5,A 1,Hàng 2,71,66
9,30:10.7,30:10.7,A 1,Hàng 3,72,65
10,30:10.9,30:10.9,A 1,Hàng 4,73,64
11,30:11.1,30:11.1,A 1,Hàng 5,74,63
12,30:11.2,30:11.2,A 1,Hàng 6,76,62
13,30:11.3,30:11.3,A 1,Hàng 7,77,61
14,30:11.5,30:11.5,A 1,Hàng 8,78,59
15,30:11.6,30:11.6,A 1,Hàng 9,79,58
16,30:11.7,30:11.7,A 1,Hàng 10,81,57
17,30:11.8,30:11.8,A 1,Hàng 11,82,56
18,30:11.9,30:11.9,A 1,Hàng 12,83,55
19,30:12.1,30:12.1,A 1,Hàng 13,84,53
20,30:12.2,30:12.2,A 1,Hàng 14,52,52
21,30:12.3,30:12.3,A 1,Hàng 15,51,51
22,30:12.3,30:12.3,A 2,VH- Số1,167,167
23,30:12.3,30:12.3,A 2,VH- Số2,172,172
24,30:12.3,30:12.3,A 2,VH- Số3,177,177
25,30:12.4,30:12.4,A 2,VH- Số4,144,144
26,30:12.4,30:12.4,A 2,VH- Số5,145,145
27,30:12.4,30:12.4,A 2,VH- Số6,146,147
28,30:12.4,30:12.4,A 2,Hàng 1,164,166
29,30:12.5,30:12.5,A 2,Hàng 2,163,168
30,30:12.6,30:12.6,A 2,Hàng 3,162,169
31,30:12.7,30:12.7,A 2,Hàng 4,161,170
32,30:12.9,30:12.9,A 2,Hàng 5,160,171
33,30:13.0,30:13.0,A 2,Hàng 6,159,173
34,30:13.1,30:13.1,A 2,Hàng 7,157,174
35,30:13.2,30:13.2,A 2,Hàng 8,156,175
36,30:13.3,30:13.3,A 2,Hàng 9,155,176
37,30:13.4,30:13.4,A 2,Hàng 10,154,178
38,30:13.5,30:13.5,A 2,Hàng 11,153,179
39,30:13.7,30:13.7,A 2,Hàng 12,152,180
40,30:13.8,30:13.8,A 2,Hàng 13,150,181
41,30:13.9,30:13.9,A 2,Hàng 14,149,149
42,30:14.0,30:14.0,A 2,Hàng 15,148,148
43,30:14.0,30:14.0,B 1,Hàng 1,103,101
44,30:14.1,30:14.1,B 1,Hàng 2,104,100
45,30:14.2,30:14.2,B 1,Hàng 3,105,99
46,30:14.3,30:14.3,B 1,Hàng 4,107,98
47,30:14.4,30:14.4,B 1,Hàng 5,108,97
48,30:14.5,30:14.5,B 1,Hàng 6,109,96
49,30:14.6,30:14.6,B 1,Hàng 7,110,95
50,30:14.7,30:14.7,B 1,Hàng 8,111,94
51,30:14.7,30:14.7,B 1,Hàng 9,113,93
52,30:14.8,30:14.8,B 1,Hàng 10,114,92
53,30:14.9,30:14.9,B 1,Hàng 11,115,91
54,30:15.0,30:15.0,B 1,Hàng 12,116,90
55,30:15.1,30:15.1,B 1,Hàng 13,117,89
56,30:15.1,30:15.1,B 2,Hàng 1,198,200
57,30:15.2,30:15.2,B 2,Hàng 2,197,201
58,30:15.2,30:15.2,B 2,Hàng 3,196,203
59,30:15.3,30:15.3,B 2,Hàng 4,195,204
60,30:15.4,30:15.4,B 2,Hàng 5,194,205
61,30:15.5,30:15.5,B 2,Hàng 6,193,206
62,30:15.6,30:15.6,B 2,Hàng 7,192,207
63,30:15.7,30:15.7,B 2,Hàng 8,191,208
64,30:15.8,30:15.8,B 2,Hàng 9,190,210
65,30:15.9,30:15.9,B 2,Hàng 10,189,211
66,30:16.0,30:16.0,B 2,Hàng 11,188,212
67,30:16.0,30:16.0,B 2,Hàng 12,187,213
68,30:16.1,30:16.1,B 2,Hàng 13,186,214
69,30:16.1,30:16.1,C 1,VH Số 1,118,143
70,30:16.1,30:16.1,C 1,Hàng 1,119,121
71,30:16.3,30:16.3,C 1,Hàng 2,142,122
72,30:16.4,30:16.4,C 1,Hàng 3,141,123
73,30:16.6,30:16.6,C 1,Hàng 4,139,124
74,30:16.7,30:16.7,C 1,Hàng 5,138,125
75,30:16.8,30:16.8,C 1,Hàng 6,136,126
76,30:16.8,30:16.8,C 2,VH Số 1,238,238
77,30:16.9,30:16.9,C 2,Hàng 1,217,239
78,30:17.0,30:17.0,C 2,Hàng 2,218,237
79,30:17.2,30:17.2,C 2,Hàng 3,219,236
80,30:17.3,30:17.3,C 2,Hàng 4,220,234
81,30:17.4,30:17.4,C 2,Hàng 5,221,233
82,30:17.5,30:17.5,C 2,Hàng 6,222,231
83,30:17.6,30:17.6,D 1,Hàng 1,133,135
84,30:17.6,30:17.6,D 1,Hàng 2,132,130
85,30:17.7,30:17.7,D 2,Hàng 1,230,228
86,30:17.7,30:17.7,D 2,Hàng 2,225,227
87,30:17.9,30:17.9,khu 8,hàng 9,,
